Model,Folds,Mean_RMSE,Std_RMSE,Mean_MAE,Mean_R2,Mean_WAPE,Mean_Strict_R2,Mean_Strict_WAPE,Failures,Recent_Folds,Recent_RMSE,Recent_WAPE,Recent_R2,Recent_Strict_WAPE,Recent_Strict_R2
Ensemble(two-stage),5,88487944.05826974,22718543.362749174,27398167.12311977,0.6021631220296888,59.321895599679735,0.5564629369692622,55.534435969932915,0,2,77457992.90336417,61.545282198396826,0.6404762487426711,55.859706685933,0.61111465172487
LightGBM(two-stage),5,88618338.77904804,22066596.12249099,27551162.25287612,0.6010131332225926,59.719715714705465,0.5548957514437833,55.96163865402345,0,2,78604065.40289795,62.11296863195567,0.6300419217854786,56.523151954915804,0.5984456131724257
XGBoost(two-stage),5,88830026.3600527,23282811.37366181,27431480.027587175,0.5992405566371681,59.330609653756824,0.5533714890850951,55.532378910347504,0,2,76700728.71802962,61.30717747812946,0.6471157826144859,55.54899469330522,0.6194635835573872
LightGBM(log-target),5,89720518.32785888,21050802.96637067,27705891.39541497,0.5911381475911222,60.053898872446894,0.5436269307189561,56.141115124167584,0,2,79722101.4859353,62.18868949493515,0.6167529629041669,56.4976826381738,0.5836539450076748
XGBoost(log-target),5,90581226.60756299,22042499.66187678,28002748.231802903,0.5839431974154519,60.78597095331186,0.5357208089174554,56.84058328131506,0,2,79919456.1710828,63.27434309810434,0.6174037202977185,57.50042868480258,0.5853038973234844
DummyMean,5,143436100.71373972,16582951.978918685,75901061.49461064,-0.022756528035520817,179.7702694000302,-0.05759469101114556,94.84739460244388,0,2,133464086.60736492,227.07875756363833,-0.04297794653447662,100.1507056093939,-0.0479448489450518
DummyMedian,5,147439063.33695716,20067323.123200726,46744051.440204985,-0.07594381645635613,102.30510861841296,-0.23578864982581677,95.7032961262493,0,2,133933124.26562442,103.29484012836461,-0.04682343158189384,98.03678835451161,-0.20354161791679948
LinearRegression(log-target),5,13492733648399.889,20867072660022.355,237559121103.36334,-22561064844.01995,397021.2733942551,-22203865602.27778,311311.1948246142,0,2,9864411523.901525,890.7765649082678,-13474.53956932393,953.3232369540934,-15795.48349140414
